申請ID,申請日,申請者社員ID,案件コード,変更種別,影響度,ステータス
B2423,2025-11-23,E106,P005,仕様変更,高,承認待ち
B2424,2025-10-02,E103,P002,コスト変更,高,承認済
B2425,2025-12-03,E108,P003,部品変更,中,承認待ち
B2426,2025-03-18,E102,P006,図面修正,中,承認済
B2427,2025-09-13,E103,P002,図面修正,中,承認待ち
B2428,2025-06-09,E106,P001,図面修正,中,申請中
B2429,2025-08-20,E108,P004,部品変更,高,申請中
B2430,2025-01-13,E102,P006,部品変更,高,承認済
B2431,2025-12-22,E103,P005,図面修正,中,却下
B2432,2025-01-21,E103,P005,図面修正,高,申請中
B2433,2025-05-01,E103,P002,図面修正,高,却下
B2434,2025-12-13,E105,P004,コスト変更,低,承認待ち
B2435,2025-08-16,E108,P005,図面修正,低,承認待ち
B2436,2025-02-20,E102,P001,仕様変更,低,申請中
B2437,2025-01-09,E102,P003,コスト変更,中,承認待ち
B2438,2025-02-02,E105,P002,部品変更,中,承認済
B2439,2025-02-09,E106,P006,仕様変更,中,申請中
B2440,2025-02-10,E103,P003,コスト変更,高,申請中
B2441,2025-11-24,E102,P004,部品変更,高,申請中
B2442,2025-02-24,E103,P004,図面修正,中,申請中
B2443,2025-12-19,E106,P001,部品変更,高,申請中
B2444,2025-07-22,E106,P001,仕様変更,中,却下
B2445,2025-08-14,E103,P001,仕様変更,低,申請中
B2446,2025-05-23,E105,P006,コスト変更,高,承認済
B2447,2025-01-22,E105,P002,部品変更,低,却下
B2448,2025-01-21,E102,P005,コスト変更,低,却下
B2449,2025-04-23,E102,P003,図面修正,高,承認済
B2450,2025-08-27,E106,P005,部品変更,中,承認済
B2451,2025-12-18,E108,P002,図面修正,低,承認済
B2452,2025-07-06,E108,P004,図面修正,中,承認済
B2453,2025-05-05,E106,P006,コスト変更,中,却下
B2454,2025-02-20,E105,P002,図面修正,中,却下
B2455,2025-08-25,E108,P006,部品変更,高,承認済
B2456,2025-09-28,E103,P005,図面修正,低,承認待ち
B2457,2025-10-05,E103,P006,コスト変更,高,却下
B2458,2025-02-17,E108,P001,仕様変更,低,申請中
B2459,2025-05-18,E103,P006,部品変更,低,承認済
B2460,2025-08-04,E105,P006,図面修正,低,却下
B2461,2025-09-22,E106,P002,図面修正,低,却下
B2462,2025-12-25,E102,P002,コスト変更,高,承認待ち
B2463,2025-12-01,E108,P001,コスト変更,高,申請中
B2464,2025-12-10,E103,P004,図面修正,高,申請中
B2465,2025-04-01,E102,P001,図面修正,高,承認待ち
B2466,2025-03-27,E102,P001,図面修正,中,申請中
B2467,2025-07-12,E106,P001,図面修正,中,却下
B2468,2025-06-07,E105,P004,コスト変更,低,申請中
B2469,2025-11-16,E102,P004,図面修正,中,申請中
B2470,2025-05-23,E106,P004,仕様変更,中,承認済
B2471,2025-11-16,E102,P004,仕様変更,中,申請中
B2472,2025-08-09,E108,P001,仕様変更,高,申請中
B2473,2025-08-13,E105,P002,コスト変更,高,承認済
B2474,2025-05-18,E106,P002,コスト変更,高,申請中
B2475,2025-11-05,E108,P006,仕様変更,低,却下
B2476,2025-02-17,E103,P004,図面修正,低,却下
B2477,2025-09-21,E102,P003,仕様変更,低,却下
B2478,2025-03-15,E105,P002,仕様変更,中,承認済
B2479,2025-07-04,E103,P001,部品変更,中,却下
B2480,2025-04-01,E106,P006,部品変更,中,申請中
B2481,2025-05-06,E103,P003,コスト変更,高,却下
B2482,2025-12-04,E102,P002,部品変更,高,申請中
B2483,2025-08-16,E105,P006,コスト変更,高,承認済
B2484,2025-11-18,E102,P004,コスト変更,高,承認済
B2485,2025-07-18,E106,P001,仕様変更,高,承認済
B2486,2025-11-12,E106,P004,部品変更,高,申請中
B2487,2025-01-06,E102,P005,部品変更,低,承認待ち
B2488,2025-08-22,E108,P003,図面修正,中,申請中
B2489,2025-11-06,E108,P004,仕様変更,低,申請中
B2490,2025-04-07,E103,P003,部品変更,低,却下
B2491,2025-01-12,E102,P005,仕様変更,高,承認済
B2492,2025-10-17,E102,P003,部品変更,中,承認待ち
B2493,2025-08-26,E103,P002,コスト変更,中,却下
B2494,2025-04-04,E103,P004,仕様変更,高,承認待ち
B2495,2025-09-05,E102,P004,仕様変更,低,承認待ち
B2496,2025-04-21,E106,P006,図面修正,高,承認済
B2497,2025-07-02,E106,P001,図面修正,中,申請中
B2498,2025-04-22,E105,P004,コスト変更,低,承認待ち
B2499,2025-12-05,E106,P005,コスト変更,低,承認待ち
B2500,2025-04-20,E108,P003,コスト変更,高,却下
